Job Link,Job Requirement 1,Job Requirement 2,Job Requirement 3,Job Requirement 4,Job Requirement 5,Job Requirement 6,Job Requirement 7,Job Requirement 8,Job Requirement 9,Job Requirement 10
https://il.linkedin.com/jobs/view/ai-algorithms-developer-at-sony-semicon-il-3979324691?position=1&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=j5QNl6noMFsUGEoWWGRNdw%3D%3D&trk=public_jobs_jserp-result_search-card,"Experience with deep learning frameworks such as TensorFlow, PyTorch, etc.",Experience with Python,,,,,,,,
https://il.linkedin.com/jobs/view/data-scientist-at-kaltura-3970771367?position=2&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=RQrfUQIcYqxekBKrndceaQ%3D%3D&trk=public_jobs_jserp-result_search-card,"Build predictive models to improve user experience, engagement, and retention.","3+ years of experience in data science, machine learning, or AI roles.","Experience with machine learning frameworks and libraries such as TensorFlow, PyTorch, scikit-learn, etc.","Strong analytical skills and experience with data visualization tools (e.g., Tableau, Power BI).","Experience working with large datasets and distributed computing (e.g., Hadoop, Spark).",Experience with video technology and SaaS products is a plus.,,,,
https://il.linkedin.com/jobs/view/ml-dl-engineer-at-fetcherr-3925058020?position=3&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=PjQRoMt5ou%2BLvHXDWLYc2w%3D%3D&trk=public_jobs_jserp-result_search-card,3+ years of hands-on experience in data science and machine learning.,"Expertise in time-series forecasting, with experience working in demand forecasting or related contexts.","Strong coding skills in Python and SQL, with experience using related open-source libraries and frameworks, including TensorFlow/PyTorch and Pandas.",Experience building tabular machine learning models using gradient boosting methods and deep learning,"Experience in leveraging deep learning and machine learning in domains such as finance/trading, reinforcement learning, or natural language processing.",Experience with MLOps and cloud platforms like GCP.,Experience with workflow orchestration tools like Apache Airflow or Dagster to schedule and monitor machine learning workflows.,,,
https://il.linkedin.com/jobs/view/software-engineer-at-way2deep-ltd-3982949106?position=4&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=jjFZxRxPcO8AIjB%2Bloe9vg%3D%3D&trk=public_jobs_jserp-result_search-card,Experience in Deep Learning– an advantage,Experience in biomedical image processing – an advantage,,,,,,,,
https://il.linkedin.com/jobs/view/artificial-intelligence-researcher-at-kaltura-3970765610?position=5&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=BPRVV5IfJI6MOaPvjjrmMw%3D%3D&trk=public_jobs_jserp-result_search-card,Proven experience in conducting research and publishing papers in reputable conferences and journals.,"Proficiency in programming languages such as Python, R, and experience with ML frameworks like TensorFlow, PyTorch, or similar.","Experience with data preprocessing, feature engineering, and model evaluation.",Experience with natural language processing (NLP) and computer vision.,Experience working in an Agile development environment.,Prior experience in a similar role within the technology or media industry.,,,,
https://il.linkedin.com/jobs/view/python-developer-llm-project-at-yo-hr-consultancy-3968545638?position=6&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=AD1O7KrQ037sMlkeLX7dOg%3D%3D&trk=public_jobs_jserp-result_search-card,"Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience)",At least 2+ years of relevant experience with Python,"Industry experience and knowledge of code quality, formatting, and best practices of software development",,,,,,,
https://il.linkedin.com/jobs/view/ai-researcher-at-kaltura-3971208267?position=7&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=hIuvOrab4%2BvpWbyzaxGROg%3D%3D&trk=public_jobs_jserp-result_search-card,Proven experience in conducting research and publishing papers in reputable conferences and journals. ,"Proficiency in programming languages such as Python, R, and experience with ML frameworks like TensorFlow, PyTorch, or similar. ","Experience with data preprocessing, feature engineering, and model evaluation. ",Experience with natural language processing (NLP) and computer vision. ,Experience working in an Agile development environment. ,Prior experience in a similar role within the technology or media industry. ,,,,
https://il.linkedin.com/jobs/view/machine-learning-engineer-at-evinced-3903600912?position=8&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=atgIf4xlF%2BdyCVi%2BaEJTaA%3D%3D&trk=public_jobs_jserp-result_search-card,5+ years of experience as a ML engineer/software developer,"Experience in utilizing machine learning, especially generative models in solutions that made it to production","Experience with cloud services (AWS, GCP, Azure)",Experience in building RAG applications and/or working with vector databases ,,,,,,
https://il.linkedin.com/jobs/view/machine-learning-engineer-at-isi-imagesat-international-3896202282?position=9&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=46PloFdqaorHSrFspXhl0A%3D%3D&trk=public_jobs_jserp-result_search-card,Minimum of 5 years of hands-on experience in Python programming for machine learning applications.,"Experience with AWS cloud services, focusing on storage and messaging; familiarity with hybrid cloud/on-prem environments is a plus.",Background in GIS and experience processing large-scale satellite or drone imagery.,"Vast experience designing and implementing end-to-end ML pipelines and tools, including components such as experiment tracking, data version control, and scalable training pipelines.",Experience with distributed computing frameworks such as DASK or Ray.,,,,,
https://il.linkedin.com/jobs/view/data-science-engineer-3903718748?position=10&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=xU0rfDEByoCxltU%2ByGqhzw%3D%3D&trk=public_jobs_jserp-result_search-card,3+ years of experience in data science,1 year of experience in Natural Language Processing (NLP) research or related fields,AI / ML experience with Big Data,"Experience with Deep Learning architectures - CNN, RNN, LSTM, Transformer, etc","Experience with TensorFlow, PyTorch, sci-kit learn, etc",Experience with Hierarchical Multimodal Classifier,Experience with transfer learning,Experience with AWS infrastructure,,
https://il.linkedin.com/jobs/view/expert-ai-ml-algorithm-developer-multiple-position-at-q-ai-3979917053?position=11&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=PtI13NIxmXbZzsYImDiSMQ%3D%3D&trk=public_jobs_jserp-result_search-card,At least 5 years experience in machine learning.,"Experience with large-scale data processing, design and performance evaluation",Experience with natural language processing (NLP) – advantage,Experience with Speech and ASR – advantage,Experience in image processing and computer vision – advantage,,,,,
https://il.linkedin.com/jobs/view/machine-learning-engineer-at-workday-3957556334?position=13&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=o53dIGY7adhFj9AeSSkMzQ%3D%3D&trk=public_jobs_jserp-result_search-card,"3+ yrs experience as a member of a data science or machine learning science, machine learning engineering, or other relevant software development team.","Proficiency in Python and supporting numeric libraries, with experience in shipping production code and models.","Experience in machine learning and deep learning frameworks & toolkits such as Pytorch, Tensorflow, and Sklearn. ","Experience with generative models, large language models, and transformer based deep neural networks.",Experience with data engineering and data wrangling using e.g. Pandas and PySpark.,"Experience with cloud computing platforms (e.g. AWS, GCP) and containerization technologies (e.g. Docker).","Standout colleague, strong communication skills, with experience working across functions and teams.",,,
https://il.linkedin.com/jobs/view/software-engineer-generative-ai-at-candivore-3982931347?position=14&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=z162MZv5PK9aPUMyf1dIYQ%3D%3D&trk=public_jobs_jserp-result_search-card,4+ years of experience as a software engineer,Experience developing applications using GenAI models,Experience with Natural Language Processing (NLP) and computer vision technologies,,,,,,,
https://il.linkedin.com/jobs/view/applied-data-scientist-at-oasis-security-3971538651?position=15&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=deRo%2B8j8Bkt6pDjwbCGhgA%3D%3D&trk=public_jobs_jserp-result_search-card,"Proven experience as a Data Scientist, with a focus on applied data science in real-world settings.","Strong proficiency in programming languages such as Python, TypeScript, Java etc. 3 years of experience or more.","Experience with machine learning frameworks and libraries such as TensorFlow, PyTorch, scikit-learn, etc.",,,,,,,
https://il.linkedin.com/jobs/view/algorithm-engineer-at-yoom-3727701329?position=17&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=BZxEmiF02bqrjoJSDBLksg%3D%3D&trk=public_jobs_jserp-result_search-card, 3+ years of experience with computer vision algorithms," Experience with state-of-the-art algorithms for deep learning frameworks (Tensorflow, PyTorch, etc.)",,,,,,,,
https://il.linkedin.com/jobs/view/machine-learning-engineer-at-workday-3957557309?position=18&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=grNfZkM0FhA55XuSumeThQ%3D%3D&trk=public_jobs_jserp-result_search-card,"3+ yrs experience as a member of a data science or machine learning science, machine learning engineering, or other relevant software development team.","Proficiency in Python and supporting numeric libraries, with experience in shipping production code and models.","Experience in machine learning and deep learning frameworks & toolkits such as Pytorch, Tensorflow, and Sklearn. ","Experience with generative models, large language models, and transformer based deep neural networks.",Experience with data engineering and data wrangling using e.g. Pandas and PySpark.,"Experience with cloud computing platforms (e.g. AWS, GCP) and containerization technologies (e.g. Docker).","Standout colleague, strong communication skills, with experience working across functions and teams.",,,
https://il.linkedin.com/jobs/view/research-scientist-combinatorial-optimization-edge-ai-at-sony-semicon-il-3959391572?position=19&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=SRKaQfKEKObgMzQzPqzqfw%3D%3D&trk=public_jobs_jserp-result_search-card,"Experience with deep learning frameworks (e.g., PyTorch, TensorFlow). ",Experience in theoretical and empirical research and in addressing research problems. ,Experience in combinatorial and non-convex optimizations. ,Experience communicating research for public audiences of peers. ,,,,,,
https://il.linkedin.com/jobs/view/data-scientist-at-varonis-3959027941?position=20&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=mwtj6icr4Rkahxw%2FyOBCgg%3D%3D&trk=public_jobs_jserp-result_search-card,Proficiency in Python and experience with popular deep learning frameworks such as TensorFlow or PyTorch. ,Experience with prompt engineering techniques. ,Experience with vector databases and embedding techniques. ,Experience with OpenAI and HuggingFace models. ,Experience with fine-tuning of LLMs is a plus. ,Experience with PySpark and Databricks is a plus. ,Strong attention to detail and a passion for creating exceptional user experiences. ,,,
https://il.linkedin.com/jobs/view/data-science-specialist-at-oracle-3972642063?position=21&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=VCWsnGXtutOJZuwRzTCz2g%3D%3D&trk=public_jobs_jserp-result_search-card, Minimum of 3 years of hands-on experience in data science with a proven track record of leading successful data-driven projects. , Proven experience working with Oracle Cloud Infrastructure is a plus. , Experience working with customer data science teams to address and solve business problems. ," Proficiency in programming languages such as Python, R, and SQL, as well as experience with open-source tools and libraries like scikit-learn, TensorFlow, and PyTorch. ", Minimum of 3 years of hands-on experience in data science with a proven track record of leading successful data-driven projects. , Proven experience working with Oracle Cloud Infrastructure is a plus. , Experience working with customer data science teams to address and solve business problems. ," Proficiency in programming languages such as Python, R, and SQL, as well as experience with open-source tools and libraries like scikit-learn, TensorFlow, and PyTorch. ",,
https://il.linkedin.com/jobs/view/software-embedded-engineer-at-ceva-inc-3924101430?position=22&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=xloQnt%2BlK%2FF5bwAhyorG4Q%3D%3D&trk=public_jobs_jserp-result_search-card,3-5 years of experience in building high-quality embedded software using C/C++,Experience in designing and implementing embedded software based on hardware specifications,Experience in data-flow optimization using profiling tools.,Experience in C Make project configuration and build.,,,,,,
https://il.linkedin.com/jobs/view/data-science-specialist-at-mygwork-lgbtq%2B-business-community-3973068967?position=24&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=l4ndHwli6IlURAP%2FFK4J9Q%3D%3D&trk=public_jobs_jserp-result_search-card,Minimum of 3 years of hands-on experience in data science with a proven track record of leading successful data-driven projects. , Proven experience working with Oracle Cloud Infrastructure is a plus. ,Experience working with customer data science teams to address and solve business problems. ,"Proficiency in programming languages such as Python, R, and SQL, as well as experience with open-source tools and libraries like scikit-learn, TensorFlow, and PyTorch. ",Minimum of 3 years of hands-on experience in data science with a proven track record of leading successful data-driven projects. , Proven experience working with Oracle Cloud Infrastructure is a plus. ,Experience working with customer data science teams to address and solve business problems. ,"Proficiency in programming languages such as Python, R, and SQL, as well as experience with open-source tools and libraries like scikit-learn, TensorFlow, and PyTorch. ",,
https://il.linkedin.com/jobs/view/head-of-data-science-at-skyhawk-security-3958921903?position=25&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=jf9ClN6u%2FL9lmpqIo6GE3A%3D%3D&trk=public_jobs_jserp-result_search-card,"5+ years’ experience in Machine Learning and AI, and in delivering AI/LLM models into production.",2+ years’ experience in leading Data Science teams,Hands-on experience with data science packages (Scikit and Py Torch/ TensorFlow),"Experienced with working in a cloud environment mainly Amazon Web Services, Google Cloud Platform or MS-Azure as advantage.","Experience with Big Data environments (e.g., Py Spark)","Deep Learning experience, preferably for NLP for Tabular data",Experience in the cyber security domain – an advantage,,,
https://il.linkedin.com/jobs/view/machine-learning-engineer-at-forter-3949245908?position=27&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=ciKCr5JYzIHm8X2FALX6mg%3D%3D&trk=public_jobs_jserp-result_search-card,"4+ years developing complex software projects with at least one of general-purpose languages (preferably Python) and ML libraries like TensorFlow, PyTorch, or scikit-learn.","Experience in collaborating with data scientists, researchers and/or ML engineers, working with machine learning concepts and frameworks",Experience working with public clouds (AWS / GCP / Azure),"Experience with large-scale data processing, ideally with Apache Spark.",,,,,,
https://il.linkedin.com/jobs/view/ml-engineer-at-transmit-security-3962082345?position=28&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=6oYQxvnYxs5UYT72qCgzcg%3D%3D&trk=public_jobs_jserp-result_search-card,Cover a wide range of areas - from leveraging LLMs to enhance customer investigation experience to novel usage of AI for fraud prevention / identity security,Leverage predictive models to optimize customer experiences that will affect millions of users worldwide.,At least 3 years of experience as a Data-scientist / ML Engineer,"Experience in designing, training and evaluating models","Knowledge of programming languages that are used in AI research, such as Python, and experience with AI frameworks (e.g., Hugging Face, LangChain, OpenAI, scikit-learn, TensorFlow, PyTorch)",Experience in software engineering and with data structures,"Expertise in natural language processing, especially practical experience developing modern, transformer-based language models",,,
https://il.linkedin.com/jobs/view/nlp-data-science-researcher-at-verint-3963175613?position=29&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=geCyb4w2e9pwgWJ0UMKnJA%3D%3D&trk=public_jobs_jserp-result_search-card,"Empower organizations with actionable insights, helping them optimize processes, improve performance, and create exceptional customer experiences.",At least 2-3 years of industry experience,Experience in (general) deep learning frameworks such as TensorFlow and Pytorch.,Proven experience and deep understanding of NLP Technologies.,"Experience in conducting experiment, performing analysis and reporting results.","Experience with Windows and Linux, cloud-based environment (AWS, Azure, etc.)",,,,
https://il.linkedin.com/jobs/view/data-scientist-at-bluevine-3941409657?position=30&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=ean938tQN5bh1BW4epwYwQ%3D%3D&trk=public_jobs_jserp-result_search-card,2+ years of working experience as a Data Scientist.,Experience developing and deploying scalable production-level code in Python. ,Experience working with Relational Databases and writing optimized SQL queries.,"Theoretical and Practical experience developing and deploying ML models (Ideation, Training/Testing, Deployment, and Monitoring).",Experience communicating technical concepts and findings to a non-technical audience.,Previous experience in one of the following areas:,MLOps Experience in the AWS ecosystem and Apache Airflow,"Experience working cross-functionally with Data/MLOps Engineering , Analytics, Business and Product partners",,
https://il.linkedin.com/jobs/view/algo-engineer-at-percepto-autonomous-drones-3974764083?position=31&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=2%2FeSkqJrV7KwB964mewHPg%3D%3D&trk=public_jobs_jserp-result_search-card,"3+ years of experience developing computer vision algorithms, such as object detection & recognition, multiple view geometry related methods, and anomaly detection","Experience in Python ML/CV framework such as SK-learn, OpenCV and/or Tensorflow/PyTorch, C/C++ is an advantage",Experience with Deep Learning algorithms ,Experience in bringing Computer Vision algorithms to production ,,,,,,
https://il.linkedin.com/jobs/view/llm-engineer-at-fetcherr-3924692030?position=37&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=yodYXQySMhbBTk3urs85jQ%3D%3D&trk=public_jobs_jserp-result_search-card,3+ years of hands-on experience in LLM ,3+ years of hands-on experience in data science / machine learning.,"Strong coding skills in Python and SQL, with experience using related open-source libraries and frameworks, including TensorFlow/PyTorch and Pandas.",Experience building tabular machine learning models using gradient boosting methods and deep learning,"Experience in leveraging deep learning and machine learning in domains such as finance/trading, reinforcement learning, or natural language processing.",Experience with MLOps and cloud platforms like GCP.,Experience with workflow orchestration tools like Apache Airflow or Dagster to schedule and monitor machine learning workflows.,,,
https://il.linkedin.com/jobs/view/llm-engineer-at-fetcherr-3924688228?position=38&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=X2kKCy6d8exHUtD0GVASlw%3D%3D&trk=public_jobs_jserp-result_search-card,3+ years of hands-on experience in LLM ,3+ years of hands-on experience in data science / machine learning.,"Strong coding skills in Python and SQL, with experience using related open-source libraries and frameworks, including TensorFlow/PyTorch and Pandas.",Experience building tabular machine learning models using gradient boosting methods and deep learning,"Experience in leveraging deep learning and machine learning in domains such as finance/trading, reinforcement learning, or natural language processing.",Experience with MLOps and cloud platforms like GCP.,Experience with workflow orchestration tools like Apache Airflow or Dagster to schedule and monitor machine learning workflows.,,,
https://il.linkedin.com/jobs/view/ai-infrastructure-engineer-at-bluewhite-3925596374?position=39&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=64V0eJ%2BQ1innVx0LEJ117w%3D%3D&trk=public_jobs_jserp-result_search-card,Proven experience in CUDA programming for GPU acceleration,Hands-on experience with TensorRT for deploying AI models,Experience with robotics or autonomous systems,,,,,,,
https://il.linkedin.com/jobs/view/senior-image-processing-engineer-at-au10tix-3968705088?position=40&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=r2P0JjdZ9diqELeXfPIwJQ%3D%3D&trk=public_jobs_jserp-result_search-card,5+ years of experience in developing software applications within a commercial environment.,"Demonstrated experience in C++ Programming, OpenCV.","Previous experience with cloud computing platforms (e.g. AWS, Azure), Docker, Kubernetes and CI/CD tools",Experience with MLOps pipelines and cloud AI services – Advantage,,,,,,
https://il.linkedin.com/jobs/view/data-scientist-at-mobileye-3960325130?position=42&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=0t%2F2VOoWKCp5oaVrji2xAA%3D%3D&trk=public_jobs_jserp-result_search-card,"Minimum of 3-5 years of hands-on experience in data science, with a strong focus on working with large datasets.",Big Data Technologies: Hands-on experience with Spark or other big data processing frameworks.,"Machine Learning: Proven experience with Scikit-Learn, TensorFlow, Keras, PyTorch, or similar libraries.",,,,,,,
https://il.linkedin.com/jobs/view/deep-learning-algorithm-developer-at-mobileye-3969989822?position=43&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=QxafOdlgIvKNrgBsYTksYg%3D%3D&trk=public_jobs_jserp-result_search-card,"3+ years of experience in development, design, and deployment of machine learning algorithms. ",Experience with TensorFlow / PyTorch. ,"Experience with cloud platforms and tools, such as AWS or GCP.",,,,,,,
https://il.linkedin.com/jobs/view/data-scientist-ai-prompt-engineer-at-varonis-3959863930?position=45&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=7tQYg7RhzQvIiqGR%2B5kI7Q%3D%3D&trk=public_jobs_jserp-result_search-card,At least 3 years of experience in Data Engineering and Data Science roles ,Experience working with cloud-based environments (Azure/ AWS/ GCP) ,Proficiency in Python and experience with popular deep learning frameworks such as TensorFlow or PyTorch. ,"Hands-on experience with developing LLM-based products, Vector DB, RAG, Langchain and similar frameworks and libraries. ",Experience working in Pyspark and Databricks ,Prior experience in the cybersecurity industry,,,,
https://il.linkedin.com/jobs/view/ai-product-architect-at-velotix-3932903565?position=46&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=sg7rsT0SJh2uib%2Bpg9gB9Q%3D%3D&trk=public_jobs_jserp-result_search-card,User Experience Focus: Ensure AI features are designed with a focus on enhancing user experience and solving real-world problems.,Experience:,Minimum 5 years of experience in AI/ML development and implementation.,Experience in product architecture and design.,Extensive experience with GenAI / Large Language Models (LLMs) and their applications.,"Experience with LLMs (e.g., GPT, BERT) and natural language processing (NLP) techniques - Must.",,,,
https://il.linkedin.com/jobs/view/senior-ml-platform-engineer-at-dream-3958869805?position=47&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=UlL3o9H9VAavomZKTArG6w%3D%3D&trk=public_jobs_jserp-result_search-card,At least 4-5 years of experience in machine learning engineering or a related field.,Strong experience in building and maintaining scalable machine learning infrastructures.,Solid experience with big data technologies and data management tools.,Experience with real-time machine learning model deployment.,,,,,,
https://il.linkedin.com/jobs/view/senior-data-scientist-at-flolive-3929774803?position=48&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=4POhv9ovc0csk1Q%2F4azTXg%3D%3D&trk=public_jobs_jserp-result_search-card,"At least 3 years of experience as a Data Scientist or similar role, preferably with experience in building anomaly detection models.",AI / ML experience with Big Data.,"Experience with big data tools such as Hadoop, Hive, or others. Experience with Clickhouse",Experience in building and optimizing algorithms for anomaly detection.,"Experience in a cloud computing environment (AWS, GCP, Azure).",,,,,
https://il.linkedin.com/jobs/view/mlops-engineer-at-evinced-3963960722?position=49&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=xE%2BXogyAbt7elfUYFlBb2A%3D%3D&trk=public_jobs_jserp-result_search-card,"5+ years experience in data engineering and MLops - dataset management, annotation tools, experiment tracking, model training and deployment pipelines",Experience with cloud solutions (GCP (preferred)/AWS/Azure) and docker,"Experience with web and web automation technologies - DOM API, HTML, Node JS, Puppeteer - Advantage",Experience with GitHub Actions - Advantage,BA / BSc in computer science or a quantitative field or equivalent experience.,,,,,
https://il.linkedin.com/jobs/view/senior-deep-learning-engineer-at-ai21-labs-3964412437?position=50&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=fwksQ6%2BsX7rqlzUbhh16Rg%3D%3D&trk=public_jobs_jserp-result_search-card,5+ years experience developing software for production systems and/or internal infrastructure/tools,"Prior experience working with cloud computing platforms (e.g. AWS, GCP, Docker, Kubernetes)",Hands-on experience in deep learning and machine learning (TensorFlow/PyTorch..),,,,,,,
https://il.linkedin.com/jobs/view/senior-ai-engineer-at-spikerz-3953335810?position=52&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=OanupX0uQUwfMSYHlex0QA%3D%3D&trk=public_jobs_jserp-result_search-card,Proven experience in a Senior AI/ML or similar role.,Experience deploying AI/ML models in production environments.,Experience with MLops frameworks and the ML CI/CD lifecycle.,"Experience with cloud platforms like AWS, Google Cloud, or Azure.",,,,,,
https://il.linkedin.com/jobs/view/data-scientist-at-lsports-3954164754?position=54&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=wCc7zKaYjTHWU5IK0yWqvQ%3D%3D&trk=public_jobs_jserp-result_search-card,"Minimum of 5 years of experience in data science or as a statistician, with a strong focus on mathematical modeling and statistical analysis.",Experience in Designing and implementing NLP models - A Must,Experience implementing NLP models from scratch or fine tuning existing products to organizational needs,"Strong experience in machine learning algorithms and frameworks such as scikit-learn, TensorFlow, or PyTorch.",,,,,,
https://il.linkedin.com/jobs/view/senior-applied-research-scientist-at-blink-technologies-inc-3861510793?position=55&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=Qxyj1NOgWpFTmA9LMYazag%3D%3D&trk=public_jobs_jserp-result_search-card,"Experience with eye tracking, gaze estimation, or related research is highly desirable",Experience with deep learning frameworks such as TensorFlow and PyTorch,,,,,,,,
https://il.linkedin.com/jobs/view/ml-ops-engineer-at-rise-3964476040?position=56&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=Pv%2BLyxbFTF%2Bbg2cwihjcUQ%3D%3D&trk=public_jobs_jserp-result_search-card,At least 2 years of experience as a ML Ops Engineer - MUST!,Experience with AWS Sagemaker / google Vertex AI or similar - MUST,"Experience with machine learning frameworks (e.g., TensorFlow, PyTorch).",Previous experience in deploying and managing machine learning models in production.,"Production experience with managing data pipelines and streaming tools such as Kafka, MSK or Kinesis","Hands-on experience with IAC tools like: Terraform, Cloudformation, Pulumi","Experience with ML tools like Kubeflow, MLflow and Seldon core etc.",,,
https://il.linkedin.com/jobs/view/machine-learning-engineer-ii-at-booking-com-3982679936?position=57&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=jqfg8MggaeXEFMUt9pCNxw%3D%3D&trk=public_jobs_jserp-result_search-card,"Minimum of 4 years of experience as a Machine Learning Engineer or a similar role, with a consistent record of successfully delivering ML solutions.","Experience with cloud frameworks like AWS sagemaker for training, evaluation and serving models using TensorFlow, PyTorch, or scikit-learn.","Experience with big data processing frameworks such, Pyspark, Apache Flink, Snowflake or similar frameworks.","Experience with data at scale using MySQL, Pyspark, Snowflake and similar frameworks.","Proven experience with MySQL, Cassandra, DynamoDB or similar relational/NoSQL database systems.","Experience in deploying large-scale language models like GPT, BERT, or similar architectures - an advantage.","Experience with experimental design, A/B testing, and evaluation metrics for ML models - an advantage.",Experience of working on products that impact a large customer base - an advantage.,,
https://il.linkedin.com/jobs/view/lead-ai-engineer-at-guardz-3951807246?position=58&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=ERDn14vNOP6wtYx4HuU4bA%3D%3D&trk=public_jobs_jserp-result_search-card,"5+ years of experience as a Machine Learning Engineer / Data Scientist or similar role, with a focus on production deployment.",Experience with Vector Databases is an advantage.,,,,,,,,
https://il.linkedin.com/jobs/view/ai-backend-team-leader-at-btc-searching-3982683360?position=59&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=W6uFI5offMnzlsjegSnxwA%3D%3D&trk=public_jobs_jserp-result_search-card,5+ years in Software Engineering.,2+ years leading software teams.,"Experience with high-scale, production-grade projects on cloud platforms (preferred: AWS).","Experience with ML in production, DevOps, TensorFlow, or PyTorch.",Experience with Data Engineering and Big Data Pipelines.,Open to senior developers without management experience.,,,,
https://il.linkedin.com/jobs/view/senior-ml-engineer-at-jfrog-3800260341?position=60&pageNum=0&refId=DMhdPYzg39OAStk%2BeOXhWg%3D%3D&trackingId=F5ViTW8E05uIwQXn8MKrCA%3D%3D&trk=public_jobs_jserp-result_search-card,5+ years of proven experience in ML roles that include both research and production hands on work,"5+ years of experience writing production-grade code in Python using modern paradigms such as Event Driven Architectures, Microservices, and alike","Experience with the entire ML model lifecycle, from ideation all the way to productization","Experience with MLOps frameworks such as Amazon SageMaker, Vertex AI or similar for building end-to-end ML pipelines",,,,,,
